event,realtime_us,pad,value
created,1783142918792610,1,0
created,1783142918792619,2,0
a,1783142926188429,1,1
a,1783142926268514,1,0
b,1783142926268529,2,1
b,1783142926348610,2,0
x,1783142926755301,1,1
x,1783142926795969,1,0
y,1783142927060227,2,1
y,1783142927100858,2,0
dpad_right,1783142927365021,1,1
dpad_right,1783142927405630,1,0
dpad_up,1783142927771278,2,1
dpad_up,1783142927811896,2,0
lt,1783142928177505,1,255
lt,1783142928279096,1,0
rt,1783142928583792,2,255
rt,1783142928685376,2,0
neutral,1783142931428935,1,0
neutral,1783142931428943,2,0
removed,1783142933556480,1,0
recreated,1783142934556863,1,0
reconnect_a,1783142936556953,1,1
reconnect_a,1783142936637032,1,0
ff_upload,1783142936637048,2,-1018137296
ff_play,1783142936638113,2,0
ff_upload,1783142936647651,2,0
ff_play,1783142936648721,2,0
